XPD32,"Xtreme Power XPDU Series Basic Power PDU for use with TXVR Series, 30A,  200-240V; L6-30P 6ft line cord, (2) L6-30R, (4) L6-20R output receptacles. Rackmount. 19""W x 2.4""D x 3.5""H.  7.5 lbs",$580.00 ,,
XPD33,"Xtreme Power XPDU Series Basic Power PDU for use with TXVR Series, 30A,  200-240V; L6-30P 6ft line cord, (4) IEC-C19 and (8) IEC C13  output receptacle. s Rackmount. 19""W x 2.4""D x 3.5""H.  8 lbs",$450.00 ,,
XPD34,"Xtreme Power XPDU Series Basic Power PDU, 30A,  240/120V; L14-30P 6ft line cord, (2) L6-30R, (4) L6-20R and (12) 5-20R output receptacles.  Rackmount. 19""W x 4.7""D x 3.5""H.  9.5 lbs",$690.00 ,,
XPD38,"Xtreme Power XPDU Series Basic Power PDU, 30A,  120V; L14-30P, 6' input cord , (4) L5-30R, (4) L5-20R  output receptacles.  Rackmount. 19""W x 4.7""D x 3.5""H.  9.5 lbs",$690.00 ,,
,,,,
Model,Description, List Price  ,,
SNMP-2PV3,"Internal SNMP/WEB Card for use with TXVR Series; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPV2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  Must be used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
MODBUS-IN,"MODBUS CARD for use with the TXVR Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
,,,,
Model,Description, List Price  ,,
9SUS8051,"M90S 5x8 Startup and 1 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance.  ","$3,900.00 ",,
9SUS8052,"M90S  5x8 Startup and 2 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$4,500.00 ",,
9USUS8053,"M90S  5x8 Startup and 3 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,100.00 ",,
9SU724051,"M90S  7x24 Startup and 1 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,070.00 ",,
9SU724052,"M90S  7x24 Startup and 2 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,850.00 ",,
9SU724053,"M90S  7x24 Startup and 3 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioningof UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$6,630.00 ",,
9PM58,"M90S Preventative Maintenance Service, 5x8. For Zone 1 (within 100 miles of XPC Service Center).","$3,500.00 ",,
9PM724,"M90S Preventative Maintenance Service, 7x24. For Zone 1 (within 100 miles of XPC Service Center).","$4,550.00 ",,
SVCADD,Service adder for locations further than 100 miles.,"$1,050.00 ",,
T9VCNFG,"Non-Standard Voltage Configuration adder.  Required when setting the TX91 (XR), TX91L, or TXVR  input voltage to 200V, 230V, or 240V.
Input Voltage:
Output Voltage on-line/inverter:
Output Voltage on Bypass:
Displayed Voltage: ",$300.00 ,,
,,,,
Model,Description, List Price  ,,
E91-10K,"Xtreme Power E91 Series online 10KVA/10KW, 208/120 VAC three-phase UPS with 2 strings of internal batteries for 11 minutes full load runtime.  Includes color touch screen display, static switch, and maintenance bypass switch ; up to 12A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB  communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCCA, Energy Star 2.0 ;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included;  Can accommodate external battery packs for extended runtimes;  9.9"" W x 26.3"" D x 32.3"" H. 273  lbs. ","$10,800.00 ",,
E91-15K,"Xtreme Power E91 Series online 15KVA/15KW, 208/120 VAC three-phase UPS with 3 strings of internal batteries for 11 minutes full load runtime.  Includes color touch screen display, static switch, and maintenance bypass switch ;  up to 12A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCCA, Energy Star 2.0 ;  2 Year Standard Warranty (Usa and Canada); Start-up and onsite labor is not included;  Can accommodate external battery packs for extended runtimes; 11.9"" W x 34"" D x 40.2"" H. 306 lbs. ","$12,700.00 ",,
E91-20K,"Xtreme Power E91 Series online 20KVA/20KW, 208/120 VAC three-phase UPS with 3 strings of internal batteries for 7 minutes full load runtime.  Includes color touch screen display, static switch, and maintenance bypass switch ;  up to 12A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCCA, Energy Star 2.0 ;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included;  Can accommodate external battery packs for extended runtimes;  11.9"" W x 34"" D x 40.2"" H. 306 lbs. ","$13,600.00 ",,
E91-20KL,"Xtreme Power E91 Series online 20KVA/20KW, 208/120 VAC three-phase UPS with no internal batteries.  Includes color touch screen display, static switch, and maintenance bypass switch ;  up to 12A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCCA, Energy Star 2.0 ;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included; 11.9"" W x 34"" D x 40.2"" H. 296 lbs.  External battery packs must be ordered seperately.","$11,800.00 ",,
E91-30K,"Xtreme Power E91 Series online 30KVA/30KW, 208/120 VAC three-phase UPS with 3 strings of internal batteries for 6 minutes full load runtime.  Includes color touch screen display, static switch, and maintenance bypass switch; Front access only design;  up to 16A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCC;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included;  Can accommodate  external battery packs for extended runtimes;  23.6"" W x 36.3"" D x 65.6"" H. 496 lbs.  ","$21,800.00 ",,
E91-30K4,"Xtreme Power E91 Series online 30KVA/30KW, 208/120 VAC three-phase UPS with 4 strings of internal batteries for 9 minutes full load runtime.  Includes color touch screen display, static switch, and maintenance bypass switch; Front access only design;  up to 16A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCC;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included;  Can accommodate external battery packs for extended runtimes;  23.6"" W x 36.3"" D x 65.6"" H. 549 lbs. ","$23,700.00 ",,
E91-30KL,"Xtreme Power E91 Series online 30KVA/30KW, 208/120 VAC three-phase UPS no internal batteries.  Includes color touch screen display, static switch, and maintenance bypass switch; Front access only design;  up to 16A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCC;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included;  23.6"" W x 36.3"" D x 65.6"" H. 419 lbs.  External battery packs must be ordered seperately.","$17,000.00 ",,
E91-40K,"Xtreme Power E91 Series online 40KVA/40KW, 208/120 VAC three-phase UPS with 4 strings of internal batteries for 6 minutes full load runtime.  Includes color touch screen display, static switch, and maintenance bypass switch; Front access only design;  up to 16A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCC;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included;  Can accommodate external battery packs for extended runtimes;  23.6"" W x 36.3"" D x 65.6"" H. 551 lbs.   ","$25,300.00 ",,
E91-40KL,"Xtreme Power E91 Series online 40KVA/40KW, 208/120 VAC three-phase UPS with no internal batteries.  Includes color touch screen display, static switch, and maintenance bypass switch; Front access only design;  up to 16A charge current, 94% efficiency in online mode or 98% efficiency in ECO mode; standard RS232, EPO, RS485, and USB communication ports;  (1) card slot for Web/SNMP or Relay cards; UL-1778 (TUV), cUL, FCC;  2 Year Standard Warranty (USA and Canada); Start-up and onsite labor is not included;  23.6"" W x 36.3"" D x 65.6"" H. 539 lbs. External battery packs must be ordered seperately.  ","$18,500.00 ",,
,,,,
Model,Description, List Price  ,,
EBP09-2,"Line and Match External Battery Pack for E91 10KVA, 15kVA, and 20kVA UPS. Includes (40) 12V 9AH batteries; Up to four battery packs per UPS can be used for extended runtime applications;   (_) battery packs provides (__) minutes of runtime @ __KW load.  11.9""W x 34""D x 40.2""H. 310 lbs. ","$6,100.00 ",,
EBP09-5,"Line and Match External Battery Pack for E91 10KVA, 15kVA, and 20kVA UPS. Includes (100) 12V 9AH batteries;  Up to four battery packs per UPS can be used for extended runtime applications;   (_) battery packs provides (__) minutes of runtime @ __KW load.  11.9""W x 34""D x 40.2""H. 670 lbs. ","$9,950.00 ",,
EBP10-5,"Line and Match External Battery Pack for E91 30KVA/30KW or 40KVA/40KW UPS. Includes (100) 12V 580W batteries; Up to four battery packs per UPS can be used for extended runtime applications;   (_) battery packs provides (__) minutes of runtime @ __KW load.  11.9""W x 34""D x 40.2""H. 770 lbs. ","$11,700.00 ",,
,,,,
Model,Description, List Price  ,,
E91-PDU1,"E91 rear mounted PDU.  Configured with (4) L21-20R outlets each protected by a 20A breaker. 9.5""W x 4.3""D x 11.6""H; 15 lbs","$1,350.00 ",,
E91-PDU2,"E91 rear mounted PDU.  Configured with (4) L21-30R outlets each protected by a 30A breaker. 9.5""W x 4.3""D x 11.6""H; 15 lbs","$1,500.00 ",,
,,,,
Model,Description, List Price  ,,
90885-C208310ECA040A04013MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 40 A, 10kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  22""W x 24""H x 9""D; 55 lbs.  For use with E91 10kVA UPS  ", Call For Price ,,
90885-C208310ECA060A06013MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 60 A, 10kAIC; Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.    22""W x 24""H x 9""D; 55 lbs.  For Use with E91 and all M90 Family 15kVA UPS", Call For Price ,,
90885-C208310ECA080A08013MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 60 A, 10kAIC; Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.    22""W x 24""H x 9""D; 55 lbs.  For Use with E91  and all M90 Family 20kVA UPS", Call For Price ,,
90880-C208322ECA125A12502MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 125 A, 22kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  30""W x 36""H x 10""D; 110 lbs.  For Use with E91 and all M90 Family 30kVA UPS", Call For Price ,,
90880-C208322ECA150A15002MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 150 A, 22kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  30""W x 36""H x 10""D; 110 lbs.  For Use with E91 40kVA UPS", Call For Price ,,
E91 does not have Contacts to support SKRU.,,,,
,,,,
Model,Description, List Price  ,,
SNMP-2PG1,"Internal two port SNMP/WEB Card for use with X90, M90C, M90, M90L E91, and M90S Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-TMPH temperature and humidity probe;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$649.00 ,,
MODBUS-IN,"MODBUS CARD for use with the E91,  M90(U) and X90 Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
SNMP-TMPH,"Temperature and humidity Probe -  used with SNMP-2PG1 SNMP/WEB Card. Packaging = 7.25""W x 6.0""D x 2.5""H, 1.0 lbs",$299.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
,,,,
Model,Description, List Price  ,,
E91SUS81,"E91  5x8 Startup and 1 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance.  ","$3,900.00 ",,
E91SUS82,"E91  5x8 Startup and 2 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$4,500.00 ",,
E91SUS83,"E91  5x8 Startup and 3 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$7,400.00 ",,
E91SU7241,"E91  7x24 Startup and 1 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,070.00 ",,
E91SU7242,"E91  7x24 Startup and 2 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,850.00 ",,
E91SU7243,"E91  7x24 Startup and 3 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioningof UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$9,620.00 ",,
E91PM58,"E91 Preventative Maintenance Service, 5x8. For Zone 1 (within 100 miles of XPC Service Center).","$3,500.00 ",,
E91PM724,"E91 Preventative Maintenance Service, 7x24. For Zone 1 (within 100 miles of XPC Service Center).","$4,550.00 ",,
SVCADD,Service adder for locations further than 100 miles.,"$1,050.00 ",,
,,,,
,,,,
Model,Description, List Price  ,,
M90C-ENC2,"XPC M90C 2-slot enclosure;  5kVA/5kW or 8kVA/8kW; On Line - Rack Mount or tower  configuration,  120/208V Three-Phase In/Out ,  Hardwired in/out, Integral Rear Mounted Maintenance Bypass switch, RS-232, USB, EPO,  intelligent slot for optional card (Web/SNMP, Relay, Modbus); Communication Software and Cable; UL-1778 (TUV), cUL, FCC, RoHS, TAA Compliant; 2 year UPS and battery warranty (USA and Canada). Power Module  and Battery Module  purchased separately;   Unit Dims: 17.3""W X 31.5""D x 10.5""H.  Weight: 38 lbs.","$2,300.00 ",,
M90C-ENC6,"XPC M90C 6-slot enclosure;  Up to 24kVA/24kW; On Line - Tower configuration,  120/208V Three-Phase In/Out , Hardwired in/out, Large LCD Screen, Casters, Integral Front Access Maintenance Bypass switch,  Floor mount bracket; Communications Module; RS-232, USB, dry contacts, EPO,  (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus) Communication Software and Cable; UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Power Modules, Battery Modules, and Blank Panels  purchased separately;   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 169 lbs.","$8,000.00 ",,
M90C-PWM5,"5KVA/5KW Power Module for XPC M90C UPS;  On Line-  120/208V Three-Phase In- Out; LCD Screen, Dims: 16.3""W X 24""D x 5.2""H (3U).  Weight: 38 lbs.","$4,900.00 ",,
M90C-PWM8,"8KVA/8KW Power Module for XPC M90C UPS;  On Line-  120/208V Three-Phase In- Out; LCD Screen, Dims: 16.3""W X 24""D x 5.2""H (3U).  Weight: 38 lbs.","$5,700.00 ",,
M90S-BMXRV2,"Battery Module for XPC M90S UPS;  Contains two battery sleeves, each containing (8) 12V 580W batteries; battery breaker; 16.3""W X 24""D x 5.2""H.  Weight: 107  lbs.
Note: Minimum of one battery module required for each power module used for capacity.","$2,095.00 ",,
M90S-BC7,"XPC M90S External Battery Enclosure; 7-slot enclosure holds up to (7) M90S-BMXR battery modules;  Includes Casters.  Battery Modules and Blank Panels purchased separately;   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 162 lbs.","$4,935.00 ",,
M90S-CB,"Caster Base for M90C-ENC2 or M90S-ENC2.  Locking casters.  Dims: 17""W X 24""D x 4.0""H.  Weight: 15 lbs.",$610.00 ,,
M90S-BP,"M90C or M90S Matching Blank Panel covers front of unused slots. Dims: 16.5""W X 2""D x 5.2""H.  Weight: 5 lbs.",$63.00 ,,
M90S-RAIL2S,"M90S Rail Kit for M90C-ENC2 or  M90S-ENC2  2-slot enclosure.  Dims: 20""W X 4""D x 2.5""H.  Weight: 5 lbs.",$155.00 ,,
XPC-L21-20P,"Optional  8'   Input cord,  Terminal to L21-20P for use with M90C-5kW; 10 lbs.",$420.00 ,,
XPC-L21-30P,"Optional  8'   Input cord,  Terminal to L21-30P for use with M90C-8kW; 10 lbs.",$420.00 ,,
M90C6S-SEIS,Seismic Hold Down Achorage for M90C-ENC6 enclosure.  Includes calculations with State of California Engineer Stamp.,"$1,900.00 ",,
,,,,
Model,Description, List Price  ,,
M90S-RPA,XPC M90C Optional Receptacle Panel for M90C-6S.  Contains (8) 5-20R receptacles. Mounts to rear of UPS Chassis.  Weight: 5 lbs.,$295.00 ,,
M90S-RPB,XPC M90C Optional Receptacle Panel for M90C-6S.   Contains (2) C19 and (4) 5-20R receptacles. Mounts to rear of UPS Chassis.  Weight: 5 lbs.,$295.00 ,,
M90S-RPC,XPC M90C Optional Receptacle Panel for M90C-6S.  Contains  (1) L6-30R and (2) C19 receptacles. Mounts to rear of UPS Chassis.  Weight: 5 lbs.,$295.00 ,,
M90S-RPD,XPC M90C Optional Receptacle Panel for M90C-6S.   Contains  (1) L14-30R and (2) C19 receptacles. Mounts to rear of UPS Chassis.  Weight: 5 lbs.,$295.00 ,,
M90S-RPE,XPC M90C Optional Receptacle Panel for M90C-6S.   Contains (2) L6-20R and (4) 5-20R receptacles. Mounts to rear of UPS Chassis.  Weight: 5 lbs.,$413.00 ,,
M90S-RPF,"XPC M90C Optional Receptacle Panel for M90C-6S.  Contains (1) L6-30R, (1) L6-20R and (4) 5-20R receptacles. Mounts to rear of UPS Chassis.   L6-30R protected by 20A breaker; Weight: 5 lbs.",$413.00 ,,
M90S-RPG,XPC M90C Optional Receptacle Panel for M90C-6S.   Contains  (1) L6-30R and (2) L6-20R receptacles. Mounts to rear of UPS Chassis.  Weight: 5 lbs.,$413.00 ,,
M90S-RPH,XPC M90C Optional Receptacle Panel for M90C-6S.   Contains  (3) L6-30R receptacles. Mounts to rear of UPS Chassis. (2)  L6-30R protected by 20A breakers;  Weight: 5 lbs.,$413.00 ,,
M90C-RPI,XPC M90C Optional Receptacle Panel for M90C-2S or M90C-6S.  Contains  (1) L21-30R receptacle protected by a 30A breaker. Mounts to rear of UPS Chassis.  Weight: 6 lbs.,$395.00 ,,
M90C-RPJ,XPC M90C Optional Receptacle Panel for M90C-2S or M90C-6S.  Contains  (1) L21-20R receptacle protected by a 20A breaker. Mounts to rear of UPS Chassis.  Weight: 6 lbs.,$395.00 ,,
M90C-RPK,XPC M90C Optional Receptacle Panel for M90C-2S or M90C-6S.  Contains  (2) L21-20R receptacles. Mounts to rear of UPS Chassis.  Weight: 6 lbs.,$395.00 ,,
M90C-RPL,XPC M90C Optional Receptacle Panel for M90C-2S or M90C-6S.  Contains  (2) L21-30R receptacles. Mounts to rear of UPS Chassis.  Weight: 6 lbs.,$395.00 ,,
,,,,
Model,Description, List Price  ,,
M90C-2S5K,"XPC M90C UPS bundle;   5kVA/5kW;  On Line-Rackmount Configuration, 120/208V Three-Phase In/Out, Hardwired in/out.  Bundle includes  M90C-ENC2 2-Slot Enclosure with Integral Maintenance Bypass, Rackmount rails; (1) 5kVA/5kW Power Module and (1) Battery Module providing 12 minutes runtime @ 5KVA/5KW load;  RS-232, USB,  EPO,  intelligent slot for optional card (Web/SNMP, Relay, Modbus; ) Communication Software and Cable; UL-1778 (TUV), cUL, FCC, RoHS, TAA Compliant; 2 year UPS and battery warranty (USA and Canada).  Enclosure, Power Module, and Battery Modules shipped seperately.  Dims: 17.5""W X 33.7""D x 10.5""H.  Weight: 185 lbs.  ","$9,450.00 ",,
M90C-2S5KT,"XPC M90C UPS bundle;   5kVA/5kW;  On-Line Tower Configuration, 120/208V Three-Phase In/Out, Hardwired in/out.  Bundle includes  M90C-ENC2 2-Slot Enclosure with Integral Maintenance Bypass, Caster Base; (1) 5kVA/5kW Power Module and (1) Battery Module providing 12 minutes runtime @ 5KVA/5KW load;  RS-232, USB,  EPO,  intelligent slot for optional card (Web/SNMP, Relay, Modbus; ) Communication Software and Cable; UL-1778 (TUV), cUL, FCC, RoHS, TAA Compliant; 2 year UPS and battery warranty (USA and Canada).  Enclosure, Power Module, and Battery Modules shipped seperately.  Dims: 17.5""W X 33.7""D x 14.5""H.  Weight: 198 lbs.  ","$9,905.00 ",,
M90C-2S8K,"XPC M90C UPS bundle;   8kVA/8kW;  On Line-Rackmount Configuration, 120/208V Three-Phase In/Out, Hardwired in/out.  Bundle includes  M90C-ENC2 2-Slot Enclosure with Integral Maintenance Bypass, Rackmount rails; (1) 8kVA/8kW Power Module and (1) Battery Module providing 6 minutes runtime @ 8KVA/8KW load;  RS-232, USB,  EPO,  intelligent slot for optional card (Web/SNMP, Relay, Modbus; ) Communication Software and Cable; UL-1778 (TUV), cUL, FCC, RoHS, TAA Compliant; 2 year UPS and battery warranty (USA and Canada).  Enclosure, Power Module, and Battery Modules shipped seperately.  Dims: 17.5""W X 33.5""D x 10.5""H.  Weight: 185 lbs.  ","$10,250.00 ",,
M90C-2S8KT,"XPC M90C UPS bundle;   8kVA/8kW;  On-Line Tower Configuration, 120/208V Three-Phase In/Out, Hardwired in/out.  Bundle includes  M90C-ENC2 2-Slot Enclosure with Integral Maintenance Bypass, Caster Base; (1) 8kVA/8kW Power Module and (1) Battery Module providing 12 minutes runtime @ 8KVA/8KW load;  RS-232, USB,  EPO,  intelligent slot for optional card (Web/SNMP, Relay, Modbus; ) Communication Software and Cable; UL-1778 (TUV), cUL, FCC, RoHS, TAA Compliant; 2 year UPS and battery warranty (USA and Canada).  Enclosure, Power Module, and Battery Modules shipped seperately.  Dims: 17.4""W X 33.7""D x 14.5""H.  Weight: 198 lbs.  ","$10,705.00 ",,
,,,,
Model,Description, List Price  ,,
M90C-6S5K1,"XPC M90C UPS bundle;   5KVA/5KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 5kVA Power Module, (1) Battery Module providing 12 minutes runtime @ 5KVA/5KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 314 lbs.","$15,247.00 ",,
M90C-6S5K2,"XPC M90C UPS bundle;   5KVA/5KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 5K Power Module, (2) Battery Modules providing  28 minutes runtime @ 5KVA/5KW load;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Modules shipped seperately.    Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 421 lbs.","$17,279.00 ",,
M90C-6S5K3,"XPC M90C UPS bundle;   5KVA/5KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 5K Power Module, (3) Battery Modules providing 46 minutes runtime @ 5KVA/5KW load; RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Modules shipped seperately.   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 528 lbs.","$19,311.00 ",,
M90C-6S5K4,"XPC M90C UPS bundle;   5KVA/5KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 5K Power Module, (4) Battery Modules providing 66 minutes runtime @ 5KVA/5KW load; RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Modules shipped seperately.   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 635 lbs.","$21,343.00 ",,
M90C-6S5K5,"XPC M90C UPS bundle;   5KVA/5KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 5K Power Module, (5) Battery Modules providing 86 minutes runtime @ 5KVA/5KW load; RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Modules shipped seperately.   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 742 lbs.","$23,375.00 ",,
,,,,
Model,Description, List Price  ,,
